System time,Bundles in storage,Bundles sent,Bundles received,Bundles forwarded,Bundles retransmitted,Bundles Delivered,Ack sent,Ack received,Discovery sent,Discovery received
2000122, 0, 0, 0, 0, 0, 0, 0, 0,0,0
4003902, 0, 0, 0, 0, 0, 0, 0, 0,0,0
6007682, 0, 0, 0, 0, 0, 0, 0, 0,0,0
8011462, 0, 0, 0, 0, 0, 0, 0, 0,0,0
10015242, 0, 0, 0, 0, 0, 0, 0, 0,0,0
12019109, 0, 0, 0, 0, 0, 0, 0, 0,0,0
14022976, 0, 0, 0, 0, 0, 0, 0, 0,0,0
16026843, 0, 0, 0, 0, 0, 0, 0, 0,0,0
18030710, 0, 0, 0, 0, 0, 0, 0, 0,0,0
20034577, 0, 0, 0, 0, 0, 0, 0, 0,0,0
22038444, 0, 0, 0, 0, 0, 0, 0, 0,0,0
24042311, 0, 0, 0, 0, 0, 0, 0, 0,0,0
26046178, 0, 0, 0, 0, 0, 0, 0, 0,0,0
28050045, 0, 0, 0, 0, 0, 0, 0, 0,0,0
 dst_len: 2#*#*,30053912, 1, 0, 0, 0, 0, 0, 0, 0,0
32057795, 1, 1, 1, 0, 0, 0, 1, 0,1,0
34061662, 2, 2, 3, 0, 0, 0, 1, 1,1,2
36065529, 1, 3, 3, 0, 0, 0, 1, 2,1,2
38069397, 1, 3, 3, 0, 0, 0, 1, 2,1,2
40073264, 1, 3, 3, 0, 0, 0, 1, 2,1,2
42077131, 1, 3, 3, 0, 0, 0, 1, 2,1,2
44080998, 2, 3, 4, 0, 0, 0, 2, 3,1,2
46084866, 2, 3, 4, 0, 0, 0, 2, 3,1,2
48088733, 2, 3, 4, 0, 0, 0, 2, 3,1,2
50092600, 2, 3, 4, 0, 0, 0, 2, 3,1,2
52096467, 2, 3, 4, 0, 0, 0, 2, 3,1,2
54100334, 2, 3, 4, 0, 0, 0, 2, 3,1,2
56104201, 2, 3, 4, 0, 0, 0, 2, 3,1,2
58108068, 2, 3, 4, 0, 0, 0, 2, 3,1,2
60111935, 2, 3, 4, 0, 0, 0, 2, 3,1,2
62115818, 2, 4, 4, 0, 0, 0, 2, 3,2,2
64119685, 3, 4, 7, 0, 0, 0, 3, 4,2,4
66123553, 3, 4, 7, 0, 0, 0, 3, 4,2,4
68127420, 3, 4, 7, 0, 0, 0, 3, 4,2,4
70131287, 3, 4, 7, 0, 0, 0, 3, 4,2,4
72135154, 3, 4, 7, 0, 0, 0, 3, 4,2,4
74139021, 3, 4, 7, 0, 0, 0, 3, 4,2,4
76142888, 3, 4, 7, 0, 0, 0, 3, 4,2,4
78146755, 3, 4, 7, 0, 0, 0, 3, 4,2,4
80150622, 3, 4, 7, 0, 2, 0, 3, 4,2,4
82154490, 3, 4, 7, 0, 2, 0, 3, 4,2,4
84158357, 4, 4, 8, 0, 2, 0, 4, 5,2,4
86162225, 4, 4, 8, 0, 2, 0, 4, 5,2,4
88166092, 4, 4, 8, 0, 2, 0, 4, 5,2,4
90169959, 4, 4, 8, 0, 2, 0, 4, 5,2,4
92173826, 4, 5, 8, 0, 2, 0, 4, 5,3,4
94177694, 4, 5, 9, 0, 2, 0, 4, 5,3,5
96181562, 4, 5, 10, 0, 2, 0, 4, 5,3,6
98185517, 4, 5, 10, 0, 2, 0, 4, 5,3,6
100189472, 4, 5, 10, 0, 2, 0, 4, 5,3,6
102193514, 4, 5, 10, 0, 2, 0, 4, 5,3,6
104197556, 5, 5, 11, 0, 2, 0, 5, 6,3,6
106201598, 5, 5, 11, 0, 2, 0, 5, 6,3,6
108205640, 5, 5, 11, 0, 2, 0, 5, 6,3,6
110209682, 5, 5, 11, 0, 2, 0, 5, 6,3,6
112213724, 5, 5, 11, 0, 2, 0, 5, 6,3,6
114217766, 5, 5, 11, 0, 2, 0, 5, 6,3,6
116221808, 5, 5, 11, 0, 2, 0, 5, 6,3,6
118225850, 5, 5, 11, 0, 2, 0, 5, 6,3,6
120229892, 5, 5, 11, 0, 6, 0, 5, 6,3,6
122233934, 5, 5, 11, 0, 6, 0, 5, 6,3,6
124237976, 5, 5, 13, 0, 6, 0, 5, 6,3,6
126242018, 5, 5, 14, 0, 6, 0, 5, 6,3,6
128246060, 5, 5, 14, 0, 6, 0, 5, 6,3,6
130250102, 5, 5, 14, 0, 6, 0, 5, 6,3,6
132254144, 5, 5, 14, 0, 6, 0, 5, 6,3,6
